"date","id","SO2","NO2","O3","PM10","CO","PM2.5","C6H6"
2022-11-08 06:00:00,805,6.28344,31.1982,2.37522,51.6265,1358.24,NA,3.50908
2022-11-08 05:00:00,805,6.12328,34.6996,1.84564,44.2793,598.59,NA,3.38808
2022-11-08 04:00:00,805,5.36151,29.5502,1.86851,32.9876,723.07,NA,2.5678
2022-11-08 03:00:00,805,5.5012,27.3304,1.75425,35.2231,434.91,NA,2.4176
2022-11-08 02:00:00,805,5.55232,27.3814,2.16711,40.7531,461.74,NA,2.55044
2022-11-08 01:00:00,805,5.41504,25.9672,2.57684,35.7887,475.2,NA,2.43297
2022-11-08 00:00:00,805,5.75458,27.8459,1.85664,43.3412,464.48,NA,2.39364
2022-11-07 23:00:00,805,6.70359,31.115,1.97013,40.9953,477.87,NA,2.48577
2022-11-07 22:00:00,805,6.07066,38.1094,2.02253,32.0975,676.02,NA,2.92074
2022-11-07 21:00:00,805,6.15194,35.4965,1.90737,26.3606,680.28,NA,2.70354
2022-11-07 20:00:00,805,7.1508,32.6299,5.15818,32.1351,579.52,NA,2.04988
2022-11-07 19:00:00,805,9.04117,32.8349,11.2312,34.948,455.43,NA,1.9107
2022-11-07 18:00:00,805,8.69929,34.0394,12.7878,17.7193,442.2,NA,1.73244
2022-11-07 17:00:00,805,7.96097,34.0666,12.4922,17.2795,433.85,NA,1.6635
2022-11-07 16:00:00,805,7.19427,33.9231,14.0472,12.8497,401.15,NA,1.15393
2022-11-07 15:00:00,805,7.86424,34.8369,14.3133,17.8103,383.31,NA,1.09847
2022-11-07 14:00:00,805,7.54668,28.7178,24.5217,11.2036,374.52,NA,1.50244
2022-11-07 13:00:00,805,7.96099,18.3127,35.9766,12.0084,300.39,NA,0.92306
2022-11-07 12:00:00,805,7.25899,15.5243,38.5861,14.9309,283.33,NA,1.1269
2022-11-07 11:00:00,805,8.13573,16.3477,35.0691,20.202,283.36,NA,1.13621
2022-11-07 10:00:00,805,9.54073,19.141,29.8251,17.1185,291.37,NA,1.26547
2022-11-07 09:00:00,805,9.24163,17.8118,31.45,19.1188,306.91,NA,1.04154
2022-11-07 08:00:00,805,9.3318,25.6402,26.8184,27.7643,360.2,NA,2.00495
2022-11-07 07:00:00,805,9.64925,30.8749,4.76699,38.6514,563.31,NA,1.90307
2022-11-07 06:00:00,805,8.32314,27.9897,2.24463,31.8561,468,NA,1.87749
2022-11-07 05:00:00,805,7.05569,25.7741,1.6519,18.5883,424.58,NA,1.69363
2022-11-07 04:00:00,805,6.04608,23.9379,3.15064,12.3235,366.59,NA,1.41575
2022-11-07 03:00:00,805,4.78735,16.2161,9.69049,17.2314,321.94,NA,1.37108
2022-11-07 02:00:00,805,5.0414,12.7817,14.16,22.6482,324.36,NA,1.36662
2022-11-07 01:00:00,805,5.50352,13.0276,16.4795,22.4595,319.37,NA,1.28739
2022-11-07 00:00:00,805,5.26628,12.6927,18.3741,22.5875,317.23,NA,1.18368
2022-11-06 23:00:00,805,4.86284,14.8962,17.885,27.6715,309.88,NA,1.31822
2022-11-06 22:00:00,805,5.97359,15.6851,19.522,28.9892,352.64,NA,1.36007
2022-11-06 21:00:00,805,6.11562,18.1764,19.9552,28.0794,348.63,NA,1.57541
2022-11-06 20:00:00,805,6.04953,16.6976,24.499,24.9784,333.88,NA,1.61281
2022-11-06 19:00:00,805,5.88695,14.7559,28.6921,19.6062,333.58,NA,1.51443
2022-11-06 18:00:00,805,4.99093,12.625,29.3032,22.5408,297.01,NA,1.41627
2022-11-06 17:00:00,805,5.13856,15.5626,29.9157,11.829,325.89,NA,1.41924
2022-11-06 16:00:00,805,5.21679,14.5258,33.4487,16.043,296.86,NA,1.0212
